community_area,avg_no2,avg_pm25,sensor_reading_count,no2_score,pm25_score,air_pollution_score,under_25000,total_population,low_income_rate,socioeconomic_score,final_risk_score,risk_level,summary
NORTH LAWNDALE,11.31,11.62,1255.0,95.90643274853802,69.29133858267716,82.6,1772.0,30355.0,0.05837588535661341,45.24,71.39,High Risk,NORTH LAWNDALE has an environmental risk score of 71.39/100. This score is based on measured air pollution and household income vulnerability from public datasets.
NEW CITY,11.52,11.49,1255.0,100.0,65.87926509186353,82.94,2266.0,40843.0,0.05548074333423108,42.85,70.91,High Risk,NEW CITY has an environmental risk score of 70.91/100. This score is based on measured air pollution and household income vulnerability from public datasets.
AVALON PARK,9.04,12.79,753.0,51.6569200779727,100.0,75.83,420.0,9492.0,0.04424778761061947,33.57,63.15,High Risk,AVALON PARK has an environmental risk score of 63.15/100. This score is based on measured air pollution and household income vulnerability from public datasets.
BRIGHTON PARK,10.89,11.36,753.0,87.71929824561406,62.46719160104986,75.09,1685.0,42360.0,0.0397780925401322,29.88,61.53,High Risk,BRIGHTON PARK has an environmental risk score of 61.53/100. This score is based on measured air pollution and household income vulnerability from public datasets.
FULLER PARK,10.77,9.91,251.0,85.38011695906432,24.409448818897637,54.89,186.0,2186.0,0.08508691674290943,67.3,58.61,Moderate Risk,FULLER PARK has an environmental risk score of 58.61/100. This score is based on measured air pollution and household income vulnerability from public datasets.
GREATER GRAND CROSSING,10.34,10.69,1506.0,76.99805068226121,44.88188976377952,60.94,1853.0,29052.0,0.0637821836706595,49.7,57.57,Moderate Risk,GREATER GRAND CROSSING has an environmental risk score of 57.57/100. This score is based on measured air pollution and household income vulnerability from public datasets.
SOUTH CHICAGO,10.63,10.56,1004.0,82.65107212475637,41.46981627296589,62.06,1499.0,29072.0,0.05156164006604293,39.61,55.32,Moderate Risk,SOUTH CHICAGO has an environmental risk score of 55.32/100. This score is based on measured air pollution and household income vulnerability from public datasets.
SOUTH LAWNDALE,9.87,11.31,1313.0,67.83625730994152,61.154855643044634,64.5,2608.0,69554.0,0.03749604623745579,27.99,53.55,Moderate Risk,SOUTH LAWNDALE has an environmental risk score of 53.55/100. This score is based on measured air pollution and household income vulnerability from public datasets.
AUSTIN,9.9,10.71,2259.0,68.42105263157896,45.406824146981656,56.91,5506.0,100278.0,0.05490735754602206,42.37,52.55,Moderate Risk,AUSTIN has an environmental risk score of 52.55/100. This score is based on measured air pollution and household income vulnerability from public datasets.
EAST GARFIELD PARK,10.15,10.07,502.0,73.29434697855753,28.608923884514443,50.95,1416.0,19855.0,0.07131704860236716,55.93,52.44,Moderate Risk,EAST GARFIELD PARK has an environmental risk score of 52.44/100. This score is based on measured air pollution and household income vulnerability from public datasets.
LOWER WEST SIDE,10.41,10.96,1241.0,78.36257309941521,51.9685039370079,65.17,900.0,34177.0,0.026333499136846416,18.77,51.25,Moderate Risk,LOWER WEST SIDE has an environmental risk score of 51.25/100. This score is based on measured air pollution and household income vulnerability from public datasets.
WEST ELSDON,10.47,11.18,495.0,79.53216374269007,57.74278215223097,68.64,267.0,18201.0,0.014669523652546564,9.14,50.79,Moderate Risk,WEST ELSDON has an environmental risk score of 50.79/100. This score is based on measured air pollution and household income vulnerability from public datasets.
WEST LAWN,10.05,11.24,922.0,71.3450292397661,59.31758530183728,65.33,766.0,32451.0,0.023604819574127144,16.52,50.69,Moderate Risk,WEST LAWN has an environmental risk score of 50.69/100. This score is based on measured air pollution and household income vulnerability from public datasets.
WEST ENGLEWOOD,10.27,10.02,753.0,75.6335282651072,27.296587926509176,51.47,1547.0,25971.0,0.05956643949020061,46.22,49.9,Moderate Risk,WEST ENGLEWOOD has an environmental risk score of 49.9/100. This score is based on measured air pollution and household income vulnerability from public datasets.
ARMOUR SQUARE,9.55,10.71,753.0,61.598440545808984,45.406824146981656,53.5,701.0,13149.0,0.05331203893832231,41.06,49.77,Moderate Risk,ARMOUR SQUARE has an environmental risk score of 49.77/100. This score is based on measured air pollution and household income vulnerability from public datasets.
ENGLEWOOD,9.17,10.46,1506.0,54.191033138401565,38.8451443569554,46.52,1501.0,21337.0,0.07034728406055209,55.13,49.1,Moderate Risk,ENGLEWOOD has an environmental risk score of 49.1/100. This score is based on measured air pollution and household income vulnerability from public datasets.
RIVERDALE,9.08,9.06,753.0,52.43664717348929,2.099737532808401,27.27,965.0,7740.0,0.12467700258397933,100.0,49.09,Moderate Risk,RIVERDALE has an environmental risk score of 49.09/100. This score is based on measured air pollution and household income vulnerability from public datasets.
MCKINLEY PARK,10.51,10.76,502.0,80.31189083820664,46.71916010498688,63.52,320.0,15400.0,0.02077922077922078,14.19,48.72,Moderate Risk,MCKINLEY PARK has an environmental risk score of 48.72/100. This score is based on measured air pollution and household income vulnerability from public datasets.
WASHINGTON PARK,10.22,9.0,251.0,74.65886939571152,0.5249343832020887,37.59,1142.0,12362.0,0.09237987380682737,73.32,48.31,Moderate Risk,WASHINGTON PARK has an environmental risk score of 48.31/100. This score is based on measured air pollution and household income vulnerability from public datasets.
MONTCLARE,10.5,10.66,502.0,80.1169590643275,44.094488188976385,62.11,312.0,13755.0,0.022682660850599782,15.76,48.2,Moderate Risk,MONTCLARE has an environmental risk score of 48.2/100. This score is based on measured air pollution and household income vulnerability from public datasets.
ALBANY PARK,9.9,10.99,753.0,68.42105263157896,52.755905511811044,60.59,1269.0,47830.0,0.0265314656073594,18.94,48.1,Moderate Risk,ALBANY PARK has an environmental risk score of 48.1/100. This score is based on measured air pollution and household income vulnerability from public datasets.
OAKLAND,9.44,9.74,251.0,59.4541910331384,19.94750656167979,39.7,361.0,4373.0,0.08255202378230048,65.21,47.35,Moderate Risk,OAKLAND has an environmental risk score of 47.35/100. This score is based on measured air pollution and household income vulnerability from public datasets.
GAGE PARK,10.29,10.48,1004.0,76.0233918128655,39.370078740157496,57.7,1007.0,34650.0,0.029062049062049063,21.03,46.7,Moderate Risk,GAGE PARK has an environmental risk score of 46.7/100. This score is based on measured air pollution and household income vulnerability from public datasets.
BRIDGEPORT,9.8,10.71,502.0,66.47173489278755,45.406824146981656,55.94,1123.0,33012.0,0.0340179328728947,25.12,46.69,Moderate Risk,BRIDGEPORT has an environmental risk score of 46.69/100. This score is based on measured air pollution and household income vulnerability from public datasets.
IRVING PARK,10.46,10.61,1004.0,79.33723196881094,42.782152230971114,61.06,1028.0,53535.0,0.019202390959185578,12.88,46.61,Moderate Risk,IRVING PARK has an environmental risk score of 46.61/100. This score is based on measured air pollution and household income vulnerability from public datasets.
HUMBOLDT PARK,9.56,10.76,1196.0,61.793372319688125,46.71916010498688,54.26,2099.0,55015.0,0.038153230937017175,28.54,46.54,Moderate Risk,HUMBOLDT PARK has an environmental risk score of 46.54/100. This score is based on measured air pollution and household income vulnerability from public datasets.
AUBURN GRESHAM,9.36,10.43,1255.0,57.89473684210525,38.057742782152225,47.98,2541.0,46483.0,0.05466514639760773,42.17,46.24,Moderate Risk,AUBURN GRESHAM has an environmental risk score of 46.24/100. This score is based on measured air pollution and household income vulnerability from public datasets.
ARCHER HEIGHTS,10.57,10.56,1004.0,81.4814814814815,41.46981627296589,61.48,223.0,13875.0,0.016072072072072074,10.3,46.13,Moderate Risk,ARCHER HEIGHTS has an environmental risk score of 46.13/100. This score is based on measured air pollution and household income vulnerability from public datasets.
ROSELAND,8.93,11.1,1506.0,49.512670565302145,55.64304461942257,52.58,1535.0,37660.0,0.04075942644715879,30.69,46.01,Moderate Risk,ROSELAND has an environmental risk score of 46.01/100. This score is based on measured air pollution and household income vulnerability from public datasets.
WEST TOWN,10.2,10.86,1255.0,74.26900584795321,49.34383202099736,61.81,1051.0,86453.0,0.012156894497588284,7.06,45.38,Moderate Risk,WEST TOWN has an environmental risk score of 45.38/100. This score is based on measured air pollution and household income vulnerability from public datasets.
SOUTH DEERING,9.24,10.25,2452.0,55.55555555555557,33.33333333333333,44.44,912.0,15100.0,0.06039735099337749,46.91,45.18,Moderate Risk,SOUTH DEERING has an environmental risk score of 45.18/100. This score is based on measured air pollution and household income vulnerability from public datasets.
CHATHAM,9.43,10.32,753.0,59.25925925925925,35.17060367454069,47.21,1530.0,31440.0,0.04866412213740458,37.22,44.21,Moderate Risk,CHATHAM has an environmental risk score of 44.21/100. This score is based on measured air pollution and household income vulnerability from public datasets.
ROGERS PARK,9.81,10.67,502.0,66.66666666666669,44.35695538057743,55.51,1038.0,53169.0,0.01952265417818654,13.15,42.8,Moderate Risk,ROGERS PARK has an environmental risk score of 42.8/100. This score is based on measured air pollution and household income vulnerability from public datasets.
SOUTH SHORE,9.03,10.43,502.0,51.461988304093566,38.057742782152225,44.76,2299.0,46276.0,0.049680179790820296,38.06,42.75,Moderate Risk,SOUTH SHORE has an environmental risk score of 42.75/100. This score is based on measured air pollution and household income vulnerability from public datasets.
NEAR WEST SIDE,9.8,10.5,1757.0,66.47173489278755,39.89501312335958,53.18,1532.0,65370.0,0.023435826831880068,16.38,42.14,Moderate Risk,NEAR WEST SIDE has an environmental risk score of 42.14/100. This score is based on measured air pollution and household income vulnerability from public datasets.
WEST PULLMAN,8.9,10.31,1255.0,48.92787524366473,34.908136482939646,41.92,1380.0,25159.0,0.05485114670694384,42.33,42.04,Moderate Risk,WEST PULLMAN has an environmental risk score of 42.04/100. This score is based on measured air pollution and household income vulnerability from public datasets.
WASHINGTON HEIGHTS,9.28,10.45,1255.0,56.33528265107211,38.58267716535431,47.46,918.0,26310.0,0.03489167616875713,25.84,40.97,Moderate Risk,WASHINGTON HEIGHTS has an environmental risk score of 40.97/100. This score is based on measured air pollution and household income vulnerability from public datasets.
NEAR NORTH SIDE,10.2,10.42,896.0,74.26900584795321,37.79527559055118,56.03,847.0,91635.0,0.00924319310307197,4.66,40.62,Moderate Risk,NEAR NORTH SIDE has an environmental risk score of 40.62/100. This score is based on measured air pollution and household income vulnerability from public datasets.
CHICAGO LAWN,9.19,10.17,1004.0,54.58089668615984,31.23359580052493,42.91,2242.0,52245.0,0.04291319743516126,32.47,39.78,Low Risk,CHICAGO LAWN has an environmental risk score of 39.78/100. This score is based on measured air pollution and household income vulnerability from public datasets.
GARFIELD RIDGE,9.82,10.53,991.0,66.86159844054582,40.68241469816272,53.77,421.0,36265.0,0.011608989383703295,6.61,39.62,Low Risk,GARFIELD RIDGE has an environmental risk score of 39.62/100. This score is based on measured air pollution and household income vulnerability from public datasets.
KENWOOD,8.66,10.6,251.0,44.24951267056531,42.51968503937007,43.38,564.0,14368.0,0.039253897550111355,29.44,39.2,Low Risk,KENWOOD has an environmental risk score of 39.2/100. This score is based on measured air pollution and household income vulnerability from public datasets.
